// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 10 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 1.09 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/" /p:OutDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/publish/" --output "/home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0/" in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1
// command took 8.93 sec and exited with 0
// ***** Done, took 00:00:10 (10.08 sec)   *****
// Found 10 benchmarks:
//   ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Div: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Dec_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Ucum_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
//   ArithmeticBench.Rat_Mul: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

// **************************
// Benchmark: ArithmeticBench.Dec_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Dec_Add --job ShortRun --benchmarkId 0 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 98882.00 ns, 98.8820 us/op
WorkloadJitting  1: 1 op, 174099.00 ns, 174.0990 us/op

OverheadJitting  2: 16 op, 133682.00 ns, 8.3551 us/op
WorkloadJitting  2: 16 op, 120594.00 ns, 7.5371 us/op

WorkloadPilot    1: 16 op, 464.00 ns, 29.0000 ns/op
WorkloadPilot    2: 32 op, 304.00 ns, 9.5000 ns/op
WorkloadPilot    3: 64 op, 432.00 ns, 6.7500 ns/op
WorkloadPilot    4: 128 op, 784.00 ns, 6.1250 ns/op
WorkloadPilot    5: 256 op, 1568.00 ns, 6.1250 ns/op
WorkloadPilot    6: 512 op, 3056.00 ns, 5.9688 ns/op
WorkloadPilot    7: 1024 op, 6096.00 ns, 5.9531 ns/op
WorkloadPilot    8: 2048 op, 12256.00 ns, 5.9844 ns/op
WorkloadPilot    9: 4096 op, 26929.00 ns, 6.5745 ns/op
WorkloadPilot   10: 8192 op, 49121.00 ns, 5.9962 ns/op
WorkloadPilot   11: 16384 op, 98162.00 ns, 5.9913 ns/op
WorkloadPilot   12: 32768 op, 198339.00 ns, 6.0528 ns/op
WorkloadPilot   13: 65536 op, 392375.00 ns, 5.9872 ns/op
WorkloadPilot   14: 131072 op, 787181.00 ns, 6.0057 ns/op
WorkloadPilot   15: 262144 op, 1581850.00 ns, 6.0343 ns/op
WorkloadPilot   16: 524288 op, 3158356.00 ns, 6.0241 ns/op
WorkloadPilot   17: 1048576 op, 6393530.00 ns, 6.0973 ns/op
WorkloadPilot   18: 2097152 op, 12808132.00 ns, 6.1074 ns/op
WorkloadPilot   19: 4194304 op, 25606633.00 ns, 6.1051 ns/op
WorkloadPilot   20: 8388608 op, 51283668.00 ns, 6.1135 ns/op
WorkloadPilot   21: 16777216 op, 77818284.00 ns, 4.6383 ns/op
WorkloadPilot   22: 33554432 op, 144773348.00 ns, 4.3146 ns/op
WorkloadPilot   23: 67108864 op, 289594933.00 ns, 4.3153 ns/op
WorkloadPilot   24: 134217728 op, 579011160.00 ns, 4.3140 ns/op

OverheadWarmup   1: 134217728 op, 223912754.00 ns, 1.6683 ns/op
OverheadWarmup   2: 134217728 op, 188221889.00 ns, 1.4024 ns/op
OverheadWarmup   3: 134217728 op, 188258513.00 ns, 1.4026 ns/op
OverheadWarmup   4: 134217728 op, 188236961.00 ns, 1.4025 ns/op
OverheadWarmup   5: 134217728 op, 188248945.00 ns, 1.4026 ns/op
OverheadWarmup   6: 134217728 op, 188258128.00 ns, 1.4026 ns/op
OverheadWarmup   7: 134217728 op, 188203677.00 ns, 1.4022 ns/op

OverheadActual   1: 134217728 op, 188207341.00 ns, 1.4023 ns/op
OverheadActual   2: 134217728 op, 188257678.00 ns, 1.4026 ns/op
OverheadActual   3: 134217728 op, 188287022.00 ns, 1.4028 ns/op
OverheadActual   4: 134217728 op, 188314447.00 ns, 1.4031 ns/op
OverheadActual   5: 134217728 op, 188181769.00 ns, 1.4021 ns/op
OverheadActual   6: 134217728 op, 188227275.00 ns, 1.4024 ns/op
OverheadActual   7: 134217728 op, 188380685.00 ns, 1.4035 ns/op
OverheadActual   8: 134217728 op, 188394829.00 ns, 1.4037 ns/op
OverheadActual   9: 134217728 op, 188379804.00 ns, 1.4035 ns/op
OverheadActual  10: 134217728 op, 188291145.00 ns, 1.4029 ns/op
OverheadActual  11: 134217728 op, 188320057.00 ns, 1.4031 ns/op
OverheadActual  12: 134217728 op, 188402026.00 ns, 1.4037 ns/op
OverheadActual  13: 134217728 op, 188421594.00 ns, 1.4039 ns/op
OverheadActual  14: 134217728 op, 188461067.00 ns, 1.4041 ns/op
OverheadActual  15: 134217728 op, 188497914.00 ns, 1.4044 ns/op

WorkloadWarmup   1: 134217728 op, 568301609.00 ns, 4.2342 ns/op
WorkloadWarmup   2: 134217728 op, 567040944.00 ns, 4.2248 ns/op
WorkloadWarmup   3: 134217728 op, 567553284.00 ns, 4.2286 ns/op

// BeforeActualRun
WorkloadActual   1: 134217728 op, 566870163.00 ns, 4.2235 ns/op
WorkloadActual   2: 134217728 op, 567674157.00 ns, 4.2295 ns/op
WorkloadActual   3: 134217728 op, 567823159.00 ns, 4.2306 ns/op

// AfterActualRun
WorkloadResult   1: 134217728 op, 378550106.00 ns, 2.8204 ns/op
WorkloadResult   2: 134217728 op, 379354100.00 ns, 2.8264 ns/op
WorkloadResult   3: 134217728 op, 379503102.00 ns, 2.8275 ns/op
// GC:  0 0 0 0 134217728
// Threading:  0 0 134217728

// AfterAll
// Benchmark Process 249473 has exited with code 0.

Mean = 2.825 ns, StdErr = 0.002 ns (0.08%), N = 3, StdDev = 0.004 ns
Min = 2.820 ns, Q1 = 2.823 ns, Median = 2.826 ns, Q3 = 2.827 ns, Max = 2.828 ns
IQR = 0.004 ns, LowerFence = 2.818 ns, UpperFence = 2.832 ns
ConfidenceInterval = [2.755 ns; 2.894 ns] (CI 99.9%), Margin = 0.070 ns (2.47% of Mean)
Skewness = -0.35, Kurtosis = 0.67, MValue = 2

// ** Remained 9 (90.0%) benchmark(s) to run. Estimated finish 2026-06-15 20:35 (0h 1m from now) **
// **************************
// Benchmark: ArithmeticBench.Rat_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Rat_Add --job ShortRun --benchmarkId 1 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 122338.00 ns, 122.3380 us/op
WorkloadJitting  1: 1 op, 199139.00 ns, 199.1390 us/op

OverheadJitting  2: 16 op, 122514.00 ns, 7.6571 us/op
WorkloadJitting  2: 16 op, 114242.00 ns, 7.1401 us/op

WorkloadPilot    1: 16 op, 2704.00 ns, 169.0000 ns/op
WorkloadPilot    2: 32 op, 2112.00 ns, 66.0000 ns/op
WorkloadPilot    3: 64 op, 3472.00 ns, 54.2500 ns/op
WorkloadPilot    4: 128 op, 6752.00 ns, 52.7500 ns/op
WorkloadPilot    5: 256 op, 13040.00 ns, 50.9375 ns/op
WorkloadPilot    6: 512 op, 25632.00 ns, 50.0625 ns/op
WorkloadPilot    7: 1024 op, 51217.00 ns, 50.0166 ns/op
WorkloadPilot    8: 2048 op, 101826.00 ns, 49.7197 ns/op
WorkloadPilot    9: 4096 op, 203171.00 ns, 49.6023 ns/op
WorkloadPilot   10: 8192 op, 411702.00 ns, 50.2566 ns/op
WorkloadPilot   11: 16384 op, 816158.00 ns, 49.8143 ns/op
WorkloadPilot   12: 32768 op, 1632715.00 ns, 49.8265 ns/op
WorkloadPilot   13: 65536 op, 3234501.00 ns, 49.3546 ns/op
WorkloadPilot   14: 131072 op, 6485067.00 ns, 49.4771 ns/op
WorkloadPilot   15: 262144 op, 12986742.00 ns, 49.5405 ns/op
WorkloadPilot   16: 524288 op, 26010747.00 ns, 49.6116 ns/op
WorkloadPilot   17: 1048576 op, 52338973.00 ns, 49.9143 ns/op
WorkloadPilot   18: 2097152 op, 48841747.00 ns, 23.2896 ns/op
WorkloadPilot   19: 4194304 op, 64144655.00 ns, 15.2933 ns/op
WorkloadPilot   20: 8388608 op, 128223165.00 ns, 15.2854 ns/op
WorkloadPilot   21: 16777216 op, 256686207.00 ns, 15.2997 ns/op
WorkloadPilot   22: 33554432 op, 513989137.00 ns, 15.3181 ns/op

OverheadWarmup   1: 33554432 op, 57126299.00 ns, 1.7025 ns/op
OverheadWarmup   2: 33554432 op, 57116027.00 ns, 1.7022 ns/op
OverheadWarmup   3: 33554432 op, 57194524.00 ns, 1.7045 ns/op
OverheadWarmup   4: 33554432 op, 52107512.00 ns, 1.5529 ns/op
OverheadWarmup   5: 33554432 op, 47011445.00 ns, 1.4011 ns/op
OverheadWarmup   6: 33554432 op, 47063318.00 ns, 1.4026 ns/op
OverheadWarmup   7: 33554432 op, 46962388.00 ns, 1.3996 ns/op

OverheadActual   1: 33554432 op, 47007716.00 ns, 1.4009 ns/op
OverheadActual   2: 33554432 op, 46910835.00 ns, 1.3981 ns/op
OverheadActual   3: 33554432 op, 46920323.00 ns, 1.3983 ns/op
OverheadActual   4: 33554432 op, 46894019.00 ns, 1.3976 ns/op
OverheadActual   5: 33554432 op, 46932243.00 ns, 1.3987 ns/op
OverheadActual   6: 33554432 op, 46917027.00 ns, 1.3982 ns/op
OverheadActual   7: 33554432 op, 46956195.00 ns, 1.3994 ns/op
OverheadActual   8: 33554432 op, 46961619.00 ns, 1.3996 ns/op
OverheadActual   9: 33554432 op, 46942995.00 ns, 1.3990 ns/op
OverheadActual  10: 33554432 op, 46949491.00 ns, 1.3992 ns/op
OverheadActual  11: 33554432 op, 46990851.00 ns, 1.4004 ns/op
OverheadActual  12: 33554432 op, 46912355.00 ns, 1.3981 ns/op
OverheadActual  13: 33554432 op, 46942899.00 ns, 1.3990 ns/op
OverheadActual  14: 33554432 op, 46942579.00 ns, 1.3990 ns/op
OverheadActual  15: 33554432 op, 46940307.00 ns, 1.3989 ns/op

WorkloadWarmup   1: 33554432 op, 513942022.00 ns, 15.3167 ns/op
WorkloadWarmup   2: 33554432 op, 512796268.00 ns, 15.2825 ns/op
WorkloadWarmup   3: 33554432 op, 513846604.00 ns, 15.3138 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 512611889.00 ns, 15.2770 ns/op
WorkloadActual   2: 33554432 op, 513445134.00 ns, 15.3019 ns/op
WorkloadActual   3: 33554432 op, 513283444.00 ns, 15.2970 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 465669310.00 ns, 13.8780 ns/op
WorkloadResult   2: 33554432 op, 466502555.00 ns, 13.9029 ns/op
WorkloadResult   3: 33554432 op, 466340865.00 ns, 13.8980 ns/op
// GC:  0 0 0 0 33554432
// Threading:  0 0 33554432

// AfterAll
// Benchmark Process 249557 has exited with code 0.

Mean = 13.893 ns, StdErr = 0.008 ns (0.05%), N = 3, StdDev = 0.013 ns
Min = 13.878 ns, Q1 = 13.888 ns, Median = 13.898 ns, Q3 = 13.900 ns, Max = 13.903 ns
IQR = 0.012 ns, LowerFence = 13.869 ns, UpperFence = 13.919 ns
ConfidenceInterval = [13.653 ns; 14.133 ns] (CI 99.9%), Margin = 0.240 ns (1.73% of Mean)
Skewness = -0.33, Kurtosis = 0.67, MValue = 2

// ** Remained 8 (80.0%) benchmark(s) to run. Estimated finish 2026-06-15 20:34 (0h 1m from now) **
// **************************
// Benchmark: ArithmeticBench.Dec_Chain: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Precept.Bench-ShortRun-1.dll --anonymousPipes 108 109 --benchmarkName Precept.Bench.ArithmeticBench.Dec_Chain --job ShortRun --benchmarkId 2 in /home/sfalik/source/repos/Precept/tools/Precept.Bench/bin/Release/net10.0/Precept.Bench-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.8 (10.0.826.23019), Arm64 RyuJIT AdvSIMD
// GC=Concurrent Workstation
// HardwareIntrinsics=AdvSIMD,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 116082.00 ns, 116.0820 us/op
WorkloadJitting  1: 1 op, 255044.00 ns, 255.0440 us/op

OverheadJitting  2: 16 op, 114786.00 ns, 7.1741 us/op
WorkloadJitting  2: 16 op, 144274.00 ns, 9.0171 us/op

WorkloadPilot    1: 16 op, 2016.00 ns, 126.0000 ns/op
WorkloadPilot    2: 32 op, 2496.00 ns, 78.0000 ns/op
WorkloadPilot    3: 64 op, 4368.00 ns, 68.2500 ns/op
WorkloadPilot    4: 128 op, 8736.00 ns, 68.2500 ns/op
WorkloadPilot    5: 256 op, 17121.00 ns, 66.8789 ns/op
WorkloadPilot    6: 512 op, 34065.00 ns, 66.5332 ns/op
WorkloadPilot    7: 1024 op, 68162.00 ns, 66.5645 ns/op
WorkloadPilot    8: 2048 op, 136290.00 ns, 66.5479 ns/op
WorkloadPilot    9: 4096 op, 282549.00 ns, 68.9817 ns/op
WorkloadPilot   10: 8192 op, 547385.00 ns, 66.8195 ns/op
WorkloadPilot   11: 16384 op, 1090690.00 ns, 66.5704 ns/op
WorkloadPilot   12: 32768 op, 2181076.00 ns, 66.5612 ns/op
WorkloadPilot   13: 65536 op, 4370264.00 ns, 66.6849 ns/op
WorkloadPilot   14: 131072 op, 8728575.00 ns, 66.5937 ns/op
WorkloadPilot   15: 262144 op, 17446190.00 ns, 66.5519 ns/op
WorkloadPilot   16: 524288 op, 34922060.00 ns, 66.6085 ns/op
WorkloadPilot   17: 1048576 op, 69911831.00 ns, 66.6731 ns/op
WorkloadPilot   18: 2097152 op, 85572968.00 ns, 40.8044 ns/op
WorkloadPilot   19: 4194304 op, 171097887.00 ns, 40.7929 ns/op
WorkloadPilot   20: 8388608 op, 342261519.00 ns, 40.8008 ns/op
WorkloadPilot   21: 16777216 op, 684322273.00 ns, 40.7888 ns/op

OverheadWarmup   1: 16777216 op, 28525634.00 ns, 1.7003 ns/op
OverheadWarmup   2: 16777216 op, 28505586.00 ns, 1.6991 ns/op
OverheadWarmup   3: 16777216 op, 28506642.00 ns, 1.6991 ns/op
OverheadWarmup   4: 16777216 op, 28512914.00 ns, 1.6995 ns/op
OverheadWarmup   5: 16777216 op, 28502242.00 ns, 1.6989 ns/op
OverheadWarmup   6: 16777216 op, 28541875.00 ns, 1.7012 ns/op
