siteId,requirementKind,declaringEntry,condition,evaluationSiteCategory,typeFamily,disposition,dischargeStory,premiseTier,group,conflict,deferralCited,derivation,openQuestion,sources
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-action-operand,primitive,defined,division-primitive,write-full,g01,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,transition-row-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,stateless-hook-action-operand,primitive,conflicted,,,,"docs/language/precept-language-spec.md § Stateless event hook states that handlers do not support `when` guards, while samples/Test2.precept:4 writes one and HEAD both accepts it and consumes it as a premise (measured run recorded in the evaluation-site enumeration). A defined cell must state its applicable premise-class set, and whether class (c) exists here turns on which source is right. Routed to the owner; the obligation side is settled and these cells become defined the moment the class set is ruled.",,,,"['docs/language/precept-language-spec.md § Stateless event hook', 'samples/Test2.precept:4']"
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,stateless-hook-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,stateless-hook-action-operand,business-domain,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the business-domain family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,stateless-hook-action-operand,collection,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the collection family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,construction-row-action-operand,primitive,defined,division-primitive,construction,g02,,,,,
op/IntegerDivideInteger/numeric-0,Numeric,IntegerDivideInteger — integer / integer,Divisor must be non-zero,construction-row-action-operand,temporal,empty,,,,,,"no operand or subject of `IntegerDivideInteger — integer / integer` has a declared type in the temporal family (its declared types are Integer, Integer), so no program can mint this requirement at a value of that family",,
